coding	num_affected
C792	112
C793	492
C794	27
C795	1002
C796	27
C797	19
C798	216
C799	10
C80	256
C800	168
C809	88
C81	291
C810	25
C811	72
C812	17
C813	2
C814	4
C817	15
C819	156
C82	635
C820	38
C821	50
C822	28
C823	21
C824	10
C825	0
C826	2
C827	59
C829	427
C83	1026
C830	121
C831	54
C832	3
C833	663
C834	3
C835	9
C836	1
C837	27
C838	104
C839	41
C84	149
C840	22
C841	2
C842	0
C843	1
C844	52
C845	52
C846	2
C847	4
C848	10
C849	4
C85	1400
C850	5
C851	395
C852	10
C857	76
C859	914
C86	27
C860	2
C861	0
C862	5
C863	1
C864	0
C865	18
C866	1
C88	87
C880	64
C881	0
C882	0
C883	1
C884	22
C887	0
C889	0
C90	701
C900	601
C901	18
C902	63
C903	19
C91	559
C910	72
C911	382
C912	1
C913	5
C914	72
C915	11
C916	1
C917	4
C918	1
C919	10
C92	548
C920	320
C921	160
C922	3
C923	2
C924	24
C925	8
C926	1
C927	17
C928	2
C929	11
C93	24
C930	5
C931	19
C932	0
C933	0
C937	0
C939	0
C94	24
C940	2
C941	0
C942	2
C943	0
C944	8
C945	5
C946	5
C947	2
C95	28
C950	13
C951	4
C952	0
C957	0
C959	11
C96	15
C960	0
C961	2
C962	3
C963	1
C964	1
C965	0
C966	1
C967	2
C968	1
C969	4
C97	83
Chapter I	14030
Chapter II	136908
Chapter III	16949
Chapter IV	12680
Chapter IX	114692
Chapter V	9362
Chapter VI	33674
Chapter VII	57253
Chapter VIII	9148
Chapter X	45870
Chapter XI	262645
Chapter XII	42350
Chapter XIII	139063
Chapter XIV	141434
Chapter XIX	72536
Chapter XV	35889
Chapter XVI	26
Chapter XVII	3075
Chapter XVIII	201991
Chapter XX	4
Chapter XXI	77222
Chapter XXII	0
D00	58
D000	36
D001	19
D002	3
D01	68
D010	17
D011	0
D012	16
D013	29
D014	0
D015	5
D017	1
D019	0
D02	62
D020	48
D021	1
D022	12
D023	1
D024	0
D03	815
D030	7
D031	12
D032	27
D033	292
D034	47
D035	146
D036	143
D037	133
D038	6
D039	2
D04	624
D040	10
D041	18
D042	33
D043	161
D044	42
D045	87
D046	108
D047	159
D048	3
D049	3
D05	2154
D050	76
D051	1146
D057	40
D059	892
D06	674
D060	26
D061	15
D067	1
D069	632
D07	506
D070	9
D071	130
D072	34
D073	7
D074	43
D075	282
D076	1
D09	221
D090	192
D091	9
D092	4
D093	4
D097	7
D099	5
D10	533
D100	72
D101	165
D102	6
D103	222
D104	15
D105	23
