method	metric	value	signal_strength	rep
Leaf_BH_3	fdp	0	2	51
Focused_BH_original	power	5	2	64
Leaf_BH_1	power	1	2	64
Leaf_BH_2	power	8	2	64
Leaf_BH_3	power	2	2	64
Focused_BH_original	fdp	0.16666666666666666	2	64
Leaf_BH_1	fdp	0.5	2	64
Leaf_BH_2	fdp	0	2	64
Leaf_BH_3	fdp	0	2	64
Focused_BH_original	power	3	2	77
Leaf_BH_1	power	0	2	77
Leaf_BH_2	power	5	2	77
Leaf_BH_3	power	1	2	77
Focused_BH_original	fdp	0	2	77
Leaf_BH_1	fdp	0	2	77
Leaf_BH_2	fdp	0.2857142857142857	2	77
Leaf_BH_3	fdp	0	2	77
Focused_BH_original	power	3	2	90
Leaf_BH_1	power	0	2	90
Leaf_BH_2	power	8	2	90
Leaf_BH_3	power	0	2	90
Focused_BH_original	fdp	0	2	90
Leaf_BH_1	fdp	0	2	90
Leaf_BH_2	fdp	0.1111111111111111	2	90
Leaf_BH_3	fdp	0	2	90
Focused_BH_original	power	8	2	103
Leaf_BH_1	power	2	2	103
Leaf_BH_2	power	9	2	103
Leaf_BH_3	power	4	2	103
Focused_BH_original	fdp	0.2	2	103
Leaf_BH_1	fdp	0.3333333333333333	2	103
Leaf_BH_2	fdp	0.1	2	103
Leaf_BH_3	fdp	0	2	103
Focused_BH_original	power	8	2	116
Leaf_BH_1	power	0	2	116
Leaf_BH_2	power	9	2	116
Leaf_BH_3	power	3	2	116
Focused_BH_original	fdp	0	2	116
Leaf_BH_1	fdp	0	2	116
Leaf_BH_2	fdp	0	2	116
Leaf_BH_3	fdp	0	2	116
Focused_BH_original	power	8	2	129
Leaf_BH_1	power	1	2	129
Leaf_BH_2	power	9	2	129
Leaf_BH_3	power	2	2	129
Focused_BH_original	fdp	0.1111111111111111	2	129
Leaf_BH_1	fdp	0.5	2	129
Leaf_BH_2	fdp	0.3076923076923077	2	129
Leaf_BH_3	fdp	0	2	129
Focused_BH_original	power	5	2	142
Leaf_BH_1	power	0	2	142
Leaf_BH_2	power	5	2	142
Leaf_BH_3	power	3	2	142
Focused_BH_original	fdp	0	2	142
Leaf_BH_1	fdp	0	2	142
Leaf_BH_2	fdp	0.16666666666666666	2	142
Leaf_BH_3	fdp	0.25	2	142
Focused_BH_original	power	8	2	155
Leaf_BH_1	power	0	2	155
Leaf_BH_2	power	9	2	155
Leaf_BH_3	power	3	2	155
Focused_BH_original	fdp	0	2	155
Leaf_BH_1	fdp	0	2	155
Leaf_BH_2	fdp	0	2	155
Leaf_BH_3	fdp	0	2	155
Focused_BH_original	power	9	2	168
Leaf_BH_1	power	0	2	168
Leaf_BH_2	power	9	2	168
Leaf_BH_3	power	3	2	168
Focused_BH_original	fdp	0.1	2	168
Leaf_BH_1	fdp	0	2	168
Leaf_BH_2	fdp	0.18181818181818182	2	168
Leaf_BH_3	fdp	0	2	168
Focused_BH_original	power	8	2	181
Leaf_BH_1	power	0	2	181
Leaf_BH_2	power	10	2	181
Leaf_BH_3	power	0	2	181
Focused_BH_original	fdp	0.1111111111111111	2	181
Leaf_BH_1	fdp	0	2	181
Leaf_BH_2	fdp	0.23076923076923078	2	181
Leaf_BH_3	fdp	0	2	181
Focused_BH_original	power	5	2	194
Leaf_BH_1	power	0	2	194
Leaf_BH_2	power	6	2	194
Leaf_BH_3	power	3	2	194
Focused_BH_original	fdp	0	2	194
Leaf_BH_1	fdp	0	2	194
Leaf_BH_2	fdp	0.14285714285714285	2	194
Leaf_BH_3	fdp	0	2	194
Focused_BH_original	power	6	2	207
Leaf_BH_1	power	0	2	207
Leaf_BH_2	power	7	2	207
Leaf_BH_3	power	1	2	207
Focused_BH_original	fdp	0.14285714285714285	2	207
Leaf_BH_1	fdp	0	2	207
Leaf_BH_2	fdp	0.3	2	207
Leaf_BH_3	fdp	0	2	207
Focused_BH_original	power	7	2	220
Leaf_BH_1	power	0	2	220
Leaf_BH_2	power	9	2	220
Leaf_BH_3	power	1	2	220
Focused_BH_original	fdp	0	2	220
Leaf_BH_1	fdp	0	2	220
Leaf_BH_2	fdp	0	2	220
Leaf_BH_3	fdp	0	2	220
Focused_BH_original	power	6	2	233
Leaf_BH_1	power	0	2	233
Leaf_BH_2	power	9	2	233
Leaf_BH_3	power	3	2	233
Focused_BH_original	fdp	0.14285714285714285	2	233
Leaf_BH_1	fdp	0	2	233
Leaf_BH_2	fdp	0.18181818181818182	2	233
Leaf_BH_3	fdp	0	2	233
Focused_BH_original	power	1	2	246
Leaf_BH_1	power	0	2	246
Leaf_BH_2	power	8	2	246
Leaf_BH_3	power	1	2	246
Focused_BH_original	fdp	0	2	246
Leaf_BH_1	fdp	0	2	246
Leaf_BH_2	fdp	0.1111111111111111	2	246
Leaf_BH_3	fdp	0	2	246
Focused_BH_original	power	9	2.5	9
