method	metric	value	signal_strength	rep
Yekutieli	fdp	0	2	116
Structured_Holm	fdp	0	2	116
BH	power	1	2	129
Leaf_BH	power	1	2	129
Focused_BH_original	power	1	2	129
Yekutieli	power	0	2	129
Structured_Holm	power	1	2	129
BH	fdp	0.5	2	129
Leaf_BH	fdp	0.5	2	129
Focused_BH_original	fdp	0.5	2	129
Yekutieli	fdp	0	2	129
Structured_Holm	fdp	0	2	129
BH	power	1	2	142
Leaf_BH	power	6	2	142
Focused_BH_original	power	1	2	142
Yekutieli	power	0	2	142
Structured_Holm	power	1	2	142
BH	fdp	0	2	142
Leaf_BH	fdp	0.14285714285714285	2	142
Focused_BH_original	fdp	0	2	142
Yekutieli	fdp	0	2	142
Structured_Holm	fdp	0	2	142
BH	power	0	2	155
Leaf_BH	power	0	2	155
Focused_BH_original	power	0	2	155
Yekutieli	power	0	2	155
Structured_Holm	power	0	2	155
BH	fdp	0	2	155
Leaf_BH	fdp	0	2	155
Focused_BH_original	fdp	0	2	155
Yekutieli	fdp	0	2	155
Structured_Holm	fdp	0	2	155
BH	power	0	2	168
Leaf_BH	power	0	2	168
Focused_BH_original	power	0	2	168
Yekutieli	power	0	2	168
Structured_Holm	power	0	2	168
BH	fdp	0	2	168
Leaf_BH	fdp	0	2	168
Focused_BH_original	fdp	0	2	168
Yekutieli	fdp	0	2	168
Structured_Holm	fdp	0	2	168
BH	power	1	2	181
Leaf_BH	power	1	2	181
Focused_BH_original	power	1	2	181
Yekutieli	power	1	2	181
Structured_Holm	power	1	2	181
BH	fdp	0	2	181
Leaf_BH	fdp	0	2	181
Focused_BH_original	fdp	0	2	181
Yekutieli	fdp	0	2	181
Structured_Holm	fdp	0	2	181
BH	power	0	2	194
Leaf_BH	power	0	2	194
Focused_BH_original	power	0	2	194
Yekutieli	power	0	2	194
Structured_Holm	power	0	2	194
BH	fdp	0	2	194
Leaf_BH	fdp	0	2	194
Focused_BH_original	fdp	0	2	194
Yekutieli	fdp	0	2	194
Structured_Holm	fdp	0	2	194
BH	power	1	2	207
Leaf_BH	power	1	2	207
Focused_BH_original	power	1	2	207
Yekutieli	power	0	2	207
Structured_Holm	power	1	2	207
BH	fdp	0	2	207
Leaf_BH	fdp	0	2	207
Focused_BH_original	fdp	0	2	207
Yekutieli	fdp	0	2	207
Structured_Holm	fdp	0	2	207
BH	power	0	2	220
Leaf_BH	power	0	2	220
Focused_BH_original	power	0	2	220
Yekutieli	power	0	2	220
Structured_Holm	power	0	2	220
BH	fdp	0	2	220
Leaf_BH	fdp	0	2	220
Focused_BH_original	fdp	0	2	220
Yekutieli	fdp	0	2	220
Structured_Holm	fdp	0	2	220
BH	power	1	2	233
Leaf_BH	power	1	2	233
Focused_BH_original	power	1	2	233
Yekutieli	power	0	2	233
Structured_Holm	power	1	2	233
BH	fdp	0	2	233
Leaf_BH	fdp	0	2	233
Focused_BH_original	fdp	0	2	233
Yekutieli	fdp	0	2	233
Structured_Holm	fdp	0	2	233
BH	power	0	2	246
Leaf_BH	power	0	2	246
Focused_BH_original	power	0	2	246
Yekutieli	power	0	2	246
Structured_Holm	power	0	2	246
BH	fdp	0	2	246
Leaf_BH	fdp	0	2	246
Focused_BH_original	fdp	0	2	246
Yekutieli	fdp	0	2	246
Structured_Holm	fdp	0	2	246
BH	power	1	2.5	9
Leaf_BH	power	1	2.5	9
Focused_BH_original	power	1	2.5	9
